2016-07-29,211
2016-07-28,210
2016-07-27,209
2016-07-26,208
2016-07-25,207
2016-07-22,204
2016-07-21,203
2016-07-20,202
2016-07-19,201
2016-07-18,200
2016-07-15,197
2016-07-14,196
2016-07-13,195
2016-07-12,194
2016-07-11,193
2016-07-08,190
2016-07-07,189
2016-07-05,187
2016-07-04,186
2016-07-01,183
2016-06-30,182
2016-06-29,181
2016-06-28,180
2016-06-27,179
2016-06-24,176
2016-06-23,175
2016-06-22,174
2016-06-21,173
2016-06-20,172
2016-06-17,169
2016-06-16,168
2016-06-15,167
2016-06-14,166
2016-06-13,165
2016-06-10,162
2016-06-09,161
2016-06-08,160
2016-06-07,159
2016-06-06,158
2016-06-03,155
2016-06-02,154
2016-06-01,153
2016-05-31,152
2016-05-30,151
2016-05-27,148
2016-05-26,147
2016-05-25,146
2016-05-24,145
2016-05-23,144
2016-05-20,141
2016-05-19,140
2016-05-18,139
2016-05-17,138
2016-05-16,137
2016-05-13,134
2016-05-12,133
2016-05-11,132
2016-05-10,131
2016-05-09,130
2016-05-06,127
2016-05-05,126
2016-05-04,125
2016-05-03,124
2016-05-02,123
2016-04-29,120
2016-04-28,119
2016-04-27,118
2016-04-26,117
2016-04-25,116
2016-04-22,113
2016-04-21,112
2016-04-20,111
2016-04-18,109
2016-04-13,104
2016-04-12,103
2016-04-11,102
2016-04-08,99
2016-04-07,98
2016-04-06,97
2016-04-05,96
2016-04-04,95
2016-04-01,92
2016-03-31,91
2016-03-30,90
2016-03-29,89
2016-03-28,88
2016-03-23,83
2016-03-22,82
2016-03-21,81
2016-03-18,78
2016-03-17,77
2016-03-16,76
2016-03-15,75
2016-03-14,74
2016-03-11,71
2016-03-10,70
2016-03-09,69
2016-03-08,68
2016-03-04,64
2016-03-03,63
2016-03-02,62
2016-03-01,61
2016-02-29,60
2016-02-26,57
2016-02-25,56
2016-02-24,55
2016-02-23,54
2016-02-22,53
2016-02-19,50
2016-02-18,49
2016-02-17,48
2016-02-16,47
2016-02-15,46
2016-02-12,43
2016-02-11,42
2016-02-10,41
2016-02-09,40
2016-02-08,39
2016-02-05,36
2016-02-04,35
2016-02-03,34
2016-02-02,33
2016-02-01,32
2016-01-29,29
2016-01-28,28
2016-01-27,27
2016-01-25,25
2016-01-22,22
2016-01-21,21
2016-01-20,20
2016-01-19,19
2016-01-18,18
2016-01-15,15
2016-01-14,14
2016-01-13,13
2016-01-12,12
2016-01-11,11
2016-01-08,8
2016-01-07,7
2016-01-06,6
2016-01-05,5
2016-01-04,4
2016-01-01,1
